Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-25T09:55:00.831Z","pro-free-trial","auto","No","2398","0","105984","1709","110091","0.04"
"2025-12-25T09:50:58.934Z","pro-free-trial","auto","No","3617","0","102400","1580","107597","0.04"
"2025-12-25T09:48:29.939Z","pro-free-trial","auto","No","9576","0","290304","3111","302991","0.10"
"2025-12-25T09:31:46.940Z","pro-free-trial","auto","No","8710","0","172032","2373","183115","0.07"
"2025-12-25T09:29:01.887Z","pro-free-trial","auto","No","6126","0","159744","1963","167833","0.06"
"2025-12-25T09:26:42.468Z","pro-free-trial","auto","No","2684","0","76800","1242","80726","0.03"
"2025-12-25T09:20:57.569Z","pro-free-trial","auto","No","71652","0","77824","2352","151828","0.12"
"2025-12-25T09:15:21.205Z","pro-free-trial","auto","No","7421","0","257536","2301","267258","0.09"
"2025-12-25T09:06:06.509Z","pro-free-trial","auto","No","56905","0","123904","1808","182617","0.11"
"2025-12-25T08:30:50.285Z","pro-free-trial","auto","No","6097","0","101376","2365","109838","0.05"
"2025-12-25T08:20:37.975Z","pro-free-trial","auto","No","43594","0","49152","3770","96516","0.09"
"2025-12-25T07:59:13.318Z","pro-free-trial","auto","No","36134","0","78848","2385","117367","0.08"
"2025-12-25T07:36:51.152Z","pro-free-trial","auto","No","21888","0","92160","1794","115842","0.06"
"2025-12-25T07:28:46.996Z","pro-free-trial","auto","No","5534","0","59904","2149","67587","0.03"
"2025-12-25T07:13:20.475Z","pro-free-trial","auto","No","23286","0","58368","3285","84939","0.06"
"2025-12-25T07:10:18.891Z","pro-free-trial","auto","No","22101","0","116224","1955","140280","0.07"
"2025-12-25T07:07:21.566Z","pro-free-trial","auto","No","8798","0","61952","2069","72819","0.04"
"2025-12-25T06:58:39.945Z","pro-free-trial","auto","No","26248","235979","54272","7592","324091","0.39"
"2025-12-25T06:44:37.757Z","pro-free-trial","auto","No","11193","0","297472","6056","314721","0.12"
"2025-12-25T06:38:39.605Z","pro-free-trial","auto","No","10155","0","303104","3821","317080","0.11"
"2025-12-25T06:33:15.410Z","pro-free-trial","auto","No","9855","0","231936","3947","245738","0.09"
"2025-12-25T06:24:29.443Z","pro-free-trial","auto","No","10623","0","104960","1676","117259","0.05"
"2025-12-25T06:12:30.581Z","pro-free-trial","auto","No","87668","0","280576","3502","371746","0.20"
"2025-12-25T03:22:51.419Z","pro-free-trial","auto","No","83315","0","94208","590","178113","0.13"
"2025-12-25T02:41:30.202Z","pro-free-trial","auto","No","1780","0","86016","357","88153","0.03"
"2025-12-25T02:38:35.035Z","pro-free-trial","auto","No","1930","0","84480","1085","87495","0.03"
"2025-12-25T02:28:00.086Z","pro-free-trial","auto","No","6973","0","490496","3650","501119","0.15"
"2025-12-25T02:17:15.485Z","pro-free-trial","auto","No","802","0","78336","413","79551","0.02"
"2025-12-25T02:16:46.809Z","pro-free-trial","auto","No","885","0","77824","334","79043","0.02"
"2025-12-25T02:02:57.024Z","pro-free-trial","auto","No","1166","0","76800","471","78437","0.02"
"2025-12-25T01:53:04.907Z","pro-free-trial","auto","No","71445","0","235520","1400","308365","0.16"
"2025-12-24T10:30:39.711Z","pro-free-trial","auto","No","5932","0","275968","971","282871","0.08"
"2025-12-24T10:28:59.124Z","pro-free-trial","auto","No","31755","0","145920","1382","179057","0.08"
"2025-12-24T10:12:47.473Z","pro-free-trial","gpt-5.2","No","0","50715","74752","2339","127806","0.13"
"2025-12-24T10:05:25.094Z","pro-free-trial","auto","No","4213","0","288256","1656","294125","0.09"
"2025-12-24T10:02:56.985Z","pro-free-trial","auto","No","5837","0","431616","1201","438654","0.12"
"2025-12-24T09:42:11.500Z","pro-free-trial","auto","No","1285","0","69632","64","70981","0.02"
"2025-12-24T09:41:24.640Z","pro-free-trial","auto","No","966","0","69120","523","70609","0.02"
